CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 00409_ct1.csv
#     CTD, 20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 4
CASTNO = 9
DATE = 20180929
TIME = 2104
LATITUDE = 54.660220
LONGITUDE = -155.170280
DEPTH =  5716
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,6,    12.391,6,   32.4402,6,  242.5106,6,    4.4878,6,    0.0283,6,      -999,9
       2.0,2,   12.3911,2,   32.4403,2,   242.572,2,    4.4871,1,    0.0315,1,      -999,9
       4.0,2,   12.3905,2,   32.4403,2,   243.411,2,     4.487,1,    0.0285,1,      -999,9
       6.0,2,   12.3897,2,   32.4402,2,  243.8289,2,    4.4873,1,    0.0288,1,      -999,9
       8.0,2,   12.3872,2,   32.4403,2,  244.2072,2,    4.4875,1,    0.0344,1,      -999,9
      10.0,2,   12.3877,2,   32.4402,2,  244.2051,2,    4.4883,1,    0.0392,1,      -999,9
      12.0,2,   12.3857,2,   32.4405,2,  244.1609,2,    4.4878,1,      0.04,1,      -999,9
      14.0,2,   12.3855,2,   32.4404,2,  244.2599,2,    4.4879,1,    0.0401,1,      -999,9
      16.0,2,   12.3903,2,   32.4401,2,  244.1432,2,    4.4878,1,    0.0406,1,      -999,9
      18.0,2,   12.3909,2,   32.4401,2,  244.6265,2,    4.4873,1,    0.0438,1,      -999,9
      20.0,2,   12.3906,2,   32.4405,2,  244.4802,2,     4.488,1,    0.0393,1,      -999,9
      22.0,2,   12.3908,2,   32.4403,2,  244.5827,2,    4.4884,1,    0.0436,1,      -999,9
      24.0,2,   12.3905,2,   32.4401,2,  244.6154,2,    4.4887,1,    0.0424,1,      -999,9
      26.0,2,   12.3905,2,   32.4402,2,  244.5901,2,    4.4883,1,     0.042,1,      -999,9
      28.0,2,   12.3911,2,   32.4403,2,  244.9716,2,    4.4881,1,    0.0427,1,      -999,9
      30.0,2,     12.39,2,   32.4403,2,  244.9276,2,    4.4882,1,    0.0449,1,      -999,9
      32.0,2,   12.3846,2,   32.4407,2,  244.9749,2,    4.4885,1,    0.0444,1,      -999,9
      34.0,2,   12.3762,2,   32.4414,2,  244.9203,2,    4.4887,1,     0.044,1,      -999,9
      36.0,2,   12.2969,2,   32.4533,2,   245.266,2,    4.4868,1,    0.0436,1,      -999,9
      38.0,2,   11.0859,2,   32.4817,2,  250.9968,2,    4.5027,1,    0.0317,1,      -999,9
      40.0,2,     8.989,2,   32.6219,2,  258.3648,2,    4.5343,1,    0.0204,1,      -999,9
      42.0,2,     7.297,2,   32.7503,2,  263.0406,2,    4.5923,1,    0.0126,1,      -999,9
      44.0,2,    7.0841,2,   32.7493,2,  263.1191,2,    4.6025,1,     0.012,1,      -999,9
      46.0,2,    6.7521,2,   32.7598,2,  269.2822,2,    4.6067,1,    0.0126,1,      -999,9
