CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 01409_ct1.csv
#     CTD,20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 14
CASTNO = 9
DATE = 20181014
TIME = 1025
LATITUDE = 31.999920
LONGITUDE = -151.999520
DEPTH =  5350
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,2,   23.2015,2,   35.1261,2,  213.5574,2,    4.6387,1,    0.0208,1,    1.3663,1
       2.0,2,   23.1999,2,   35.1257,2,  213.5649,2,     4.628,1,    0.0208,1,    1.3667,1
       4.0,2,    23.197,2,   35.1256,2,  213.2667,2,    4.6067,1,    0.0208,1,    1.3652,1
       6.0,2,   23.2027,2,   35.1257,2,  214.0331,2,     4.559,1,      0.02,1,    1.3641,1
       8.0,2,   23.2082,2,   35.1257,2,  214.1834,2,    4.5559,1,    0.0204,1,    1.3629,1
      10.0,2,   23.2087,2,   35.1257,2,   214.256,2,    4.5539,1,      0.02,1,    1.3616,1
      12.0,2,   23.2085,2,   35.1258,2,  214.1878,2,    4.5533,1,      0.02,1,    1.3607,1
      14.0,2,   23.2088,2,   35.1258,2,  214.5595,2,    4.5599,1,      0.02,1,    1.3599,1
      16.0,2,    23.209,2,   35.1258,2,  213.7742,2,    4.6264,1,    0.0212,1,    1.3595,1
      18.0,2,   23.2091,2,   35.1257,2,  214.6853,2,    4.6381,1,    0.0205,1,    1.3588,1
      20.0,2,   23.2104,2,   35.1257,2,  214.9638,2,    4.6382,1,    0.0208,1,    1.3581,1
      22.0,2,   23.2104,2,   35.1256,2,  215.1488,2,    4.6376,1,     0.021,1,    1.3575,1
      24.0,2,   23.2109,2,   35.1257,2,   215.113,2,    4.6383,1,    0.0207,1,    1.3567,1
      26.0,2,   23.2115,2,   35.1257,2,  215.1651,2,    4.6379,1,    0.0212,1,    1.3564,1
      28.0,2,   23.2109,2,   35.1258,2,  215.1234,2,    4.6369,1,    0.0208,1,    1.3549,1
      30.0,2,   23.2088,2,   35.1261,2,  215.3401,2,    4.6376,1,    0.0208,1,    1.3543,1
      32.0,2,   23.2088,2,    35.126,2,  215.6289,2,    4.6378,1,    0.0214,1,    1.3532,1
      34.0,2,   23.2086,2,   35.1261,2,  215.2167,2,    4.6377,1,     0.021,1,    1.3523,1
      36.0,2,   23.2087,2,   35.1261,2,  215.3249,2,    4.6383,1,    0.0211,1,    1.3514,1
      38.0,2,   23.1836,2,   35.1217,2,  215.7192,2,    4.6273,1,    0.0222,1,    1.3507,1
      40.0,2,   21.8815,2,   34.9307,2,  220.8705,2,    4.6232,1,    0.0229,1,    1.3498,1
      42.0,2,   18.9774,2,   34.5754,2,   235.281,2,    4.6113,1,    0.0244,1,    1.3498,1
      44.0,2,   19.0029,2,   34.5496,2,  253.1338,2,    4.6252,1,    0.0252,1,    1.3491,1
      46.0,2,   18.4716,2,    34.528,2,  255.7579,2,    4.6279,1,    0.0254,1,    1.3502,1
      48.0,2,   18.2334,2,   34.5175,2,  257.6325,2,    4.6312,1,    0.0244,1,    1.3515,1
      50.0,2,   18.1653,2,   34.5006,2,  258.6285,2,     4.633,1,    0.0242,1,    1.3561,1
      52.0,2,   17.9564,2,   34.5142,2,  258.8391,2,    4.6373,1,    0.0244,1,    1.3622,1
      54.0,2,   17.9196,2,    34.529,2,   257.874,2,    4.6384,1,    0.0253,1,    1.3671,1
      56.0,2,   17.8249,2,   34.5163,2,  257.0805,2,    4.6387,1,    0.0247,1,     1.374,1
      58.0,2,   17.6617,2,   34.4949,2,  257.4742,2,    4.6389,1,     0.025,1,    1.3798,1
      60.0,2,   17.5781,2,   34.4999,2,  257.0679,2,    4.6383,1,    0.0253,1,    1.3853,1
      62.0,2,   17.5102,2,   34.5115,2,  255.8965,2,     4.641,1,    0.0257,1,    1.3893,1
      64.0,2,   17.3775,2,   34.4925,2,  255.5216,2,     4.641,1,    0.0268,1,    1.3922,1
      66.0,2,   17.2378,2,    34.475,2,  255.5363,2,    4.6396,1,    0.0272,1,    1.3946,1
      68.0,2,   17.2105,2,   34.4765,2,  255.1447,2,    4.6413,1,    0.0273,1,    1.3958,1
      70.0,2,   17.0552,2,    34.471,2,  255.2303,2,    4.6461,1,    0.0257,1,    1.3954,1
      72.0,2,   17.0168,2,   34.4782,2,  254.4169,2,    4.6476,1,    0.0271,1,    1.3969,1
      74.0,2,    16.995,2,   34.5019,2,  253.4115,2,     4.648,1,    0.0276,1,    1.3967,1
      76.0,2,     16.97,2,    34.515,2,   252.974,2,    4.6478,1,    0.0269,1,    1.3956,1
      78.0,2,   16.8769,2,   34.5135,2,  252.1413,2,     4.649,1,    0.0281,1,    1.3949,1
      80.0,2,   16.8304,2,   34.5163,2,  251.0756,2,    4.6495,1,    0.0294,1,    1.3935,1
      82.0,2,   16.7434,2,   34.5159,2,  249.9944,2,    4.6492,1,      0.03,1,    1.3917,1
      84.0,2,   16.6117,2,   34.4998,2,  249.9286,2,    4.6517,1,    0.0307,1,     1.391,1
      86.0,2,   16.5539,2,   34.4986,2,  249.5899,2,    4.6514,1,    0.0311,1,    1.3899,1
      88.0,2,   16.3753,2,   34.4908,2,  249.1578,2,    4.6532,1,    0.0329,1,    1.3893,1
      90.0,2,    16.312,2,    34.493,2,  248.0536,2,    4.6533,1,    0.0342,1,    1.3887,1
      92.0,2,   16.1224,2,   34.4806,2,  247.4322,2,     4.655,1,    0.0342,1,    1.3874,1
      94.0,2,   16.0307,2,   34.4824,2,  244.7439,2,    4.6562,1,    0.0355,1,    1.3863,1
      96.0,2,   15.9337,2,   34.4705,2,  243.4325,2,     4.655,1,    0.0342,1,    1.3846,1
      98.0,2,   15.8085,2,   34.4562,2,   242.983,2,    4.6567,1,    0.0343,1,    1.3838,1
     100.0,2,   15.5995,2,   34.4323,2,  243.0769,2,    4.6576,1,    0.0339,1,    1.3832,1
     102.0,2,   15.5266,2,   34.4242,2,  242.8275,2,    4.6591,1,    0.0339,1,    1.3842,1
     104.0,2,   15.4261,2,   34.4113,2,  242.6978,2,    4.6591,1,    0.0334,1,    1.3857,1
     106.0,2,   15.3691,2,   34.4051,2,  242.3504,2,    4.6596,1,    0.0347,1,    1.3869,1
     108.0,2,   15.2044,2,   34.3967,2,  241.6854,2,    4.6615,1,    0.0315,1,    1.3869,1
     110.0,2,   15.2011,2,   34.4196,2,  237.9905,2,    4.6619,1,     0.033,1,    1.3879,1
     112.0,2,   15.0878,2,   34.4079,2,  234.3517,2,    4.6633,1,    0.0321,1,    1.3883,1
     114.0,2,   14.9414,2,   34.3927,2,   232.989,2,    4.6641,1,      0.03,1,    1.3889,1
