CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 03308_ct1.csv
#     CTD,20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 33
CASTNO = 8
DATE = 20181113
TIME = 2129
LATITUDE = -4.999760
LONGITUDE = -152.002660
DEPTH =  5423
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,2,   27.9041,2,   35.5227,2,  200.6749,2,    4.5938,1,    0.0195,1,    1.3065,1
       2.0,2,   27.9049,2,   35.5227,2,  200.8033,2,    4.5929,1,    0.0191,1,    1.3039,1
       4.0,2,   27.9051,2,   35.5227,2,   200.625,2,    4.5923,1,    0.0194,1,    1.3057,1
       6.0,2,   27.9051,2,   35.5228,2,  199.8494,2,    4.5893,1,    0.0195,1,    1.3071,1
       8.0,2,   27.9061,2,   35.5227,2,  200.1038,2,    4.5957,1,    0.0195,1,    1.3079,1
      10.0,2,   27.9069,2,   35.5228,2,  200.3841,2,    4.5971,1,    0.0195,1,    1.3081,1
      12.0,2,   27.9076,2,   35.5228,2,  200.7003,2,    4.5976,1,    0.0195,1,    1.3055,1
      14.0,2,   27.9111,2,   35.5228,2,  200.8456,2,    4.5978,1,    0.0195,1,    1.3044,1
      16.0,2,   27.8948,2,   35.5228,2,  200.4834,2,    4.5971,1,      0.02,1,    1.3041,1
      18.0,2,   27.8726,2,   35.5223,2,   200.668,2,    4.5963,1,    0.0222,1,    1.3041,1
      20.0,2,   27.8488,2,    35.522,2,  201.0291,2,    4.5938,1,    0.0229,1,    1.3022,1
      22.0,2,   27.8467,2,   35.5219,2,  200.7667,2,    4.5938,1,    0.0242,1,    1.2991,1
      24.0,2,   27.8449,2,   35.5218,2,  200.8347,2,     4.593,1,    0.0253,1,    1.2958,1
      26.0,2,   27.8421,2,   35.5213,2,  201.0966,2,     4.594,1,    0.0257,1,    1.2924,1
      28.0,2,   27.8411,2,   35.5212,2,  201.0805,2,    4.5933,1,    0.0261,1,    1.2892,1
      30.0,2,    27.841,2,   35.5213,2,  201.0129,2,    4.5939,1,    0.0266,1,    1.2869,1
      32.0,2,   27.8412,2,   35.5213,2,  200.9357,2,    4.5932,1,    0.0269,1,    1.2855,1
      34.0,2,    27.841,2,   35.5213,2,  200.9598,2,    4.5934,1,    0.0269,1,    1.2852,1
      36.0,2,   27.8408,2,   35.5211,2,  201.0015,2,    4.5939,1,    0.0279,1,    1.2844,1
      38.0,2,   27.8398,2,   35.5208,2,  201.5879,2,    4.5923,1,     0.028,1,    1.2838,1
      40.0,2,   27.8384,2,   35.5204,2,  201.5115,2,    4.5913,1,    0.0283,1,    1.2811,1
      42.0,2,   27.8369,2,   35.5201,2,   201.134,2,    4.5934,1,    0.0284,1,    1.2794,1
      44.0,2,   27.8349,2,   35.5198,2,  200.9091,2,    4.5945,1,    0.0284,1,    1.2772,1
      46.0,2,   27.8301,2,   35.5196,2,  201.2863,2,    4.5944,1,    0.0291,1,    1.2748,1
      48.0,2,   27.8284,2,   35.5195,2,  201.5807,2,    4.5941,1,    0.0294,1,    1.2733,1
      50.0,2,   27.8275,2,   35.5197,2,  201.2848,2,    4.5942,1,    0.0297,1,     1.272,1
      52.0,2,   27.8276,2,   35.5201,2,  200.9021,2,    4.5944,1,    0.0294,1,    1.2716,1
      54.0,2,   27.8283,2,   35.5202,2,  201.4705,2,    4.5942,1,    0.0297,1,    1.2707,1
      56.0,2,   27.8278,2,   35.5205,2,  201.4412,2,    4.5941,1,    0.0298,1,    1.2702,1
      58.0,2,   27.8226,2,   35.5199,2,  201.5868,2,     4.595,1,    0.0307,1,    1.2699,1
      60.0,2,   27.8141,2,   35.5178,2,  201.3258,2,    4.5944,1,    0.0309,1,    1.2699,1
      62.0,2,   27.7837,2,   35.5113,2,  201.3506,2,    4.5934,1,    0.0324,1,    1.2698,1
      64.0,2,   27.7684,2,   35.5081,2,  201.5094,2,    4.5924,1,    0.0331,1,    1.2698,1
      66.0,2,   27.6607,2,    35.487,2,  201.6162,2,    4.5855,1,    0.0368,1,      1.27,1
      68.0,2,   27.4762,2,   35.4611,2,  202.1936,2,    4.5794,1,    0.0448,1,    1.2706,1
      70.0,2,   27.3049,2,     35.44,2,  201.8166,2,    4.5796,1,    0.0464,1,    1.2706,1
      72.0,2,   27.2686,2,   35.4349,2,  201.0924,2,    4.5809,1,    0.0477,1,    1.2719,1
      74.0,2,   27.0981,2,   35.4132,2,  201.6819,2,    4.5825,1,     0.049,1,    1.2723,1
      76.0,2,   27.0074,2,   35.3993,2,  200.5767,2,    4.5862,1,    0.0489,1,    1.2743,1
      78.0,2,   26.7981,2,    35.369,2,   199.499,2,    4.5901,1,    0.0513,1,    1.2757,1
      80.0,2,   26.7677,2,   35.3593,2,  198.8557,2,    4.5926,1,    0.0504,1,    1.2774,1
      82.0,2,   26.7175,2,   35.3544,2,  197.8044,2,    4.5965,1,     0.051,1,    1.2784,1
      84.0,2,    26.697,2,   35.3539,2,  197.7529,2,    4.5989,1,    0.0504,1,    1.2792,1
      86.0,2,   26.6902,2,   35.3547,2,  196.9543,2,    4.5991,1,    0.0512,1,    1.2811,1
      88.0,2,   26.6864,2,   35.3553,2,  196.9294,2,    4.6015,1,    0.0512,1,    1.2824,1
      90.0,2,    26.681,2,   35.3553,2,  196.8268,2,    4.6032,1,    0.0512,1,    1.2833,1
      92.0,2,   26.6663,2,   35.3535,2,  196.9172,2,    4.6044,1,    0.0502,1,    1.2845,1
      94.0,2,   26.6534,2,   35.3518,2,  196.5007,2,     4.605,1,    0.0506,1,    1.2866,1
      96.0,2,   26.6034,2,   35.3407,2,  195.9746,2,    4.6062,1,    0.0517,1,    1.2879,1
      98.0,2,   26.6093,2,   35.3416,2,  195.5448,2,    4.6073,1,     0.051,1,    1.2893,1
     100.0,2,   26.5946,2,   35.3402,2,  195.4578,2,    4.6093,1,    0.0512,1,     1.291,1
     102.0,2,   26.6127,2,   35.3548,2,  195.1155,2,    4.6105,1,    0.0513,1,    1.2936,1
     104.0,2,   26.6355,2,   35.3766,2,  194.8291,2,    4.6125,1,    0.0504,1,     1.295,1
     106.0,2,   26.6397,2,   35.3823,2,  194.0908,2,    4.6139,1,     0.052,1,    1.2953,1
     108.0,2,   26.6376,2,   35.3835,2,  194.1121,2,    4.6156,1,    0.0529,1,    1.2969,1
     110.0,2,   26.6361,2,   35.3842,2,  193.7913,2,     4.616,1,    0.0519,1,    1.2977,1
     112.0,2,   26.6372,2,   35.3865,2,  193.7236,2,    4.6163,1,    0.0501,1,    1.2991,1
     114.0,2,   26.6344,2,   35.3867,2,  193.8989,2,     4.616,1,    0.0489,1,    1.3003,1
     116.0,2,   26.6269,2,   35.3871,2,  193.1043,2,    4.6187,1,    0.0491,1,    1.3024,1
     118.0,2,   26.6307,2,   35.3869,2,   193.118,2,    4.6188,1,    0.0483,1,    1.3068,1
     120.0,2,   26.6156,2,   35.3879,2,  192.9784,2,    4.6214,1,    0.0472,1,    1.3092,1
     122.0,2,   26.5894,2,    35.386,2,  192.7966,2,    4.6228,1,    0.0446,1,    1.3103,1
     124.0,2,   26.5618,2,   35.3819,2,  192.4206,2,    4.6249,1,    0.0435,1,    1.3123,1
     126.0,2,   26.5434,2,   35.3793,2,  191.8485,2,    4.6262,1,    0.0423,1,    1.3141,1
     128.0,2,   26.5087,2,   35.3804,2,  192.2925,2,    4.6273,1,      0.04,1,    1.3145,1
     130.0,2,    26.482,2,   35.3866,2,  191.7434,2,    4.6273,1,    0.0395,1,    1.3142,1
     132.0,2,   26.4534,2,   35.3948,2,   190.805,2,    4.6275,1,    0.0402,1,    1.3141,1
     134.0,2,   26.4322,2,   35.4066,2,  190.7152,2,    4.6278,1,    0.0388,1,    1.3141,1
     136.0,2,   26.3833,2,    35.424,2,  190.1527,2,    4.6288,1,    0.0387,1,    1.3147,1
     138.0,2,   26.2348,2,    35.486,2,  189.2218,2,    4.6302,1,    0.0378,1,     1.315,1
     140.0,2,   26.0164,2,   35.5727,2,  187.1123,2,     4.631,1,    0.0342,1,    1.3161,1
     142.0,2,   25.7216,2,   35.6478,2,  183.5801,2,    4.6341,1,    0.0321,1,    1.3172,1
     144.0,2,   25.5489,2,    35.689,2,  180.3327,2,    4.6341,1,    0.0315,1,    1.3183,1
     146.0,2,   25.2787,2,   35.7635,2,  178.8611,2,    4.6351,1,    0.0307,1,    1.3193,1
     148.0,2,   24.7489,2,   35.9468,2,  177.5477,2,    4.6371,1,    0.0301,1,    1.3218,1
     150.0,2,   24.6874,2,   35.9832,2,  169.6258,2,    4.6389,1,    0.0287,1,    1.3255,1
     152.0,2,   24.5003,2,    36.099,2,  167.0404,2,    4.6397,1,    0.0268,1,    1.3303,1
     154.0,2,   23.7891,2,   36.1381,2,  166.1813,2,    4.6405,1,    0.0253,1,    1.3359,1
     156.0,2,   22.1911,2,   36.0367,2,  164.7656,2,    4.6411,1,    0.0244,1,    1.3398,1
     158.0,2,    21.657,2,   35.9847,2,  158.3874,2,    4.6431,1,    0.0246,1,    1.3447,1
     160.0,2,   21.3581,2,   35.9539,2,  155.6347,2,    4.6438,1,    0.0248,1,    1.3557,1
     162.0,2,   21.0036,2,   35.9046,2,  155.8361,2,    4.6455,1,    0.0243,1,    1.3653,1
     164.0,2,   20.4264,2,   35.8269,2,  156.6326,2,    4.6463,1,    0.0232,1,     1.379,1
     166.0,2,   19.7666,2,   35.7442,2,  155.7553,2,    4.6463,1,    0.0221,1,    1.3992,1
     168.0,2,   19.5617,2,   35.7058,2,  143.8065,2,    4.6466,1,    0.0213,1,    1.4122,1
     170.0,2,   18.9409,2,   35.6254,2,  144.9966,2,    4.6466,1,     0.022,1,    1.4198,1
     172.0,2,   18.7699,2,   35.5959,2,  132.3672,2,    4.6465,1,     0.022,1,    1.4281,1
     174.0,2,   18.5614,2,   35.5639,2,  123.5938,2,    4.6452,1,    0.0227,1,    1.4435,1
     176.0,2,   18.0471,2,   35.5113,2,  119.8554,2,    4.6464,1,    0.0221,1,    1.4571,1
     178.0,2,   17.8005,2,   35.4787,2,  115.5564,2,    4.6471,1,     0.022,1,    1.4674,1
     180.0,2,   17.7033,2,   35.4623,2,  107.4151,2,    4.6476,1,     0.022,1,      1.49,1
     182.0,2,    17.635,2,   35.4473,2,  101.9113,2,    4.6486,1,     0.022,1,    1.5129,1
     184.0,2,   17.1919,2,   35.4003,2,  102.7478,2,    4.6483,1,     0.022,1,    1.5254,1
     186.0,2,   16.8384,2,   35.3666,2,  101.6565,2,    4.6483,1,    0.0221,1,    1.5376,1
     188.0,2,    16.632,2,   35.3424,2,   98.9635,2,    4.6482,1,    0.0219,1,    1.5571,1
     190.0,2,   16.2598,2,   35.2977,2,   94.8885,2,     4.649,1,    0.0215,1,    1.5847,1
     192.0,2,   15.5236,2,   35.2198,2,   90.4271,2,    4.6484,1,    0.0208,1,    1.6059,1
     194.0,2,   15.4055,2,   35.1966,2,   74.0579,2,    4.6495,1,    0.0205,1,    1.6327,1
     196.0,2,   15.1549,2,    35.164,2,   64.2969,2,    4.6505,1,    0.0197,1,    1.6611,1
     198.0,2,   14.8552,2,   35.1354,2,   66.9312,2,    4.6499,1,    0.0195,1,    1.6772,1
     200.0,2,    14.719,2,   35.1199,2,   64.4933,2,    4.6506,1,    0.0191,1,    1.6976,1
     202.0,2,   14.5496,2,   35.0988,2,   60.1372,2,    4.6505,1,    0.0191,1,    1.7311,1
     204.0,2,   14.4401,2,    35.082,2,   53.1582,2,    4.6498,1,    0.0195,1,    1.7683,1
     206.0,2,     14.34,2,   35.0697,2,   48.0564,2,    4.6504,1,    0.0191,1,    1.7943,1
     208.0,2,   14.1867,2,   35.0551,2,   46.4196,2,     4.651,1,    0.0194,1,    1.8102,1
     210.0,2,    14.076,2,   35.0458,2,   44.7815,2,    4.6516,1,    0.0191,1,    1.8382,1
     212.0,2,   14.0235,2,   35.0381,2,   42.6396,2,    4.6516,1,     0.019,1,    1.8756,1
