CTD,20201209CCHSIO
# DATE and TIME:  Merged corrected DATE and TIME headers into CTD files
# References:
#     Cruise report available at https://cchdo.ucsd.edu/cruise/33RR20180918
# CCHDO Citation Information
#     Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#     Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#     Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#     Please see https://cchdo.ucsd.edu/citation or https://cchdo.ucsd.edu for details and examples
# CTD,20200313ODFSIO - Previous Time Stamp. DATE and TIME corrected
# CTD,20190518CCHSIO - Previous Time Stamp. Previous Comments Below
#     SHIP: Roger Revelle
#     Cruise: GEOTRACES, RR1815
#     DATES: 20180918 to 20181125
#     Chief Scientist: Greg Cutter
#     EVENT_CODE = unknown
#     DEPTH_TYPE = unknown
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     STNNBR and CASTNO: removed leading 0s from values to match bottle file.
#     CASTNO: header values for CASTNO were changed to match the file name for the following originator filenames: 00411_ct1.csv,00810_ct1.csv,00812_ct1.csv,00813_ct1.csv,01210_ct1.csv,01212_ct1.csv,01410_ct1.csv,01412_ct1.csv,01413_ct1.csv,01911_ct1.csv,01912_ct1.csv,02111_ct1.csv,02310_ct1.csv,02312_ct1.csv,02313_ct1.csv,02511_ct1.csv,02711_ct1.csv,02910_ct1.csv,02912_ct1.csv,02913_ct1.csv,03111_ct1.csv,03311_ct1.csv,03510_ct1.csv,03512_ct1.csv,03513_ct1.csv,03711_ct1.csv,03910_ct1.csv,03912_ct1.csv
#     Removed erroneous last commas from headers in original file 00702_ct1.csv
#     Original file name: 03709_ct1.csv
#     CTD, 20190107ODFSIO - Previous Time Stamp.
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918
SECT_ID = rr1815
STNNBR = 37
CASTNO = 9
DATE = 20181119
TIME = 1903
LATITUDE = -15.000240
LONGITUDE = -152.000160
DEPTH =  4865
INSTRUMENT_ID = 1281
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
       0.0,6,   28.4092,6,    36.032,6,  196.2899,6,    4.6743,6,    0.0013,6,      -999,9
       2.0,2,   28.3972,2,   36.0074,2,  196.0201,2,    4.6749,1,    0.0012,1,      -999,9
       4.0,2,   28.3699,2,   35.9491,2,  196.4506,2,    4.6785,1,    0.0012,1,      -999,9
       6.0,2,    28.375,2,   35.9983,2,  196.3369,2,    4.6787,1,    0.0012,1,      -999,9
       8.0,2,   28.4365,2,    36.252,2,  196.0962,2,    4.6786,1,    0.0013,1,      -999,9
      10.0,2,   28.4318,2,    36.284,2,  195.4787,2,     4.679,1,    0.0012,1,      -999,9
      12.0,2,    28.443,2,   36.3057,2,  195.4839,2,    4.6788,1,    0.0012,1,      -999,9
      14.0,2,   28.4776,2,   36.3501,2,  196.0943,2,    4.6784,1,    0.0012,1,      -999,9
      16.0,2,   28.4776,2,   36.3703,2,  196.0048,2,    4.6775,1,    0.0012,1,      -999,9
      18.0,2,   28.4101,2,   36.3812,2,  196.2213,2,    4.6778,1,    0.0012,1,      -999,9
      20.0,2,   28.2891,2,   36.3914,2,  196.2934,2,    4.6776,1,    0.0013,1,      -999,9
      22.0,2,   28.2033,2,    36.381,2,  197.0752,2,    4.6773,1,    0.0013,1,      -999,9
      24.0,2,   28.1292,2,   36.3719,2,  196.9807,2,     4.675,1,    0.0013,1,      -999,9
      26.0,2,   28.1354,2,   36.3845,2,  197.5256,2,     4.675,1,    0.0013,1,      -999,9
      28.0,2,   28.1217,2,    36.391,2,  197.5515,2,     4.677,1,    0.0015,1,      -999,9
      30.0,2,   28.1175,2,   36.3988,2,  197.4012,2,    4.6771,1,    0.0014,1,      -999,9
      32.0,2,   28.1154,2,   36.4006,2,  197.4917,2,    4.6782,1,    0.0014,1,      -999,9
      34.0,2,   28.1074,2,   36.3996,2,  197.1414,2,    4.6783,1,    0.0014,1,      -999,9
      36.0,2,   28.1032,2,   36.4014,2,  196.9737,2,     4.678,1,    0.0015,1,      -999,9
      38.0,2,   28.0934,2,    36.403,2,  197.4194,2,    4.6779,1,    0.0016,1,      -999,9
      40.0,2,    28.085,2,   36.4026,2,  197.1896,2,    4.6777,1,    0.0015,1,      -999,9
      42.0,2,   28.0769,2,   36.4014,2,  197.3716,2,    4.6772,1,     0.002,1,      -999,9
      44.0,2,   28.0674,2,   36.3994,2,  196.7925,2,    4.6777,1,     0.002,1,      -999,9
      46.0,2,   28.0572,2,   36.3969,2,  197.0821,2,    4.6777,1,    0.0019,1,      -999,9
